symbol,score,summary,url,as_of
000001,-0.041667,平安银行000001.SZ)：2026年一季报净利润为145.23亿元 (-0.33); 解密主力资金出逃股 连续5日净流出722股 (+0.00); ETF市场日报 | 创新药板块批量涨超4%，卫星ETF重挫逾7% (+0.00),http://finance.eastmoney.com/a/202604253718934165.html,2026-04-25 10:12:35
000858,-0.041667,000858 最新公告！五粮液集团斥资不低于30亿元增持 (+0.33); 五粮液000858.SZ)：2025年年报净利润为89.54亿元、同比较去年同期下降71.89% (-0.33); 午后白酒集体飙涨！贵州茅台涨超3% (-0.33),http://finance.eastmoney.com/a/202605063728974577.html,2026-05-06 21:28:00
300750,0.041667,北京科锐澄清：与特斯拉上海签下合作协议，总装机容量仅为“初略预估量” (+0.33); 9只个股大宗交易超5000万元 (+0.00); 2026年一季报净利润为207.38亿元、宁德时代300750.SZ)较去年同期上涨48.52% (+0.00),http://finance.eastmoney.com/a/202605293753980822.html,2026-05-29 10:22:21
600036,-0.125000,招商证券：董事长变更 (-0.33); 油价巨震风控升级 多家银行将原油基金调至R5最高风险等级 (-0.33); 银行收紧零售信贷风控？不同银行体感有温差 (-0.33),http://finance.eastmoney.com/a/202605273751293316.html,2026-05-27 15:58:00
600519,0.166667,贵州茅台：股份回购完成，耗资30亿 (+0.33); 贵州茅台回购219万股 金额30亿元 (+0.33); 贵州茅台：股份回购完成 耗资30亿元回购218.86万股 (+0.33),http://finance.eastmoney.com/a/202605273752783635.html,2026-05-27 21:24:30
